2023-06-30_16-29-56: DF Exception: Sub: R1068J, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-56: DF Exception: Sub: R1068J, Sess: 1, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-56: DF Exception: Sub: R1069M, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-59: DF Exception: Sub: R1065J, Sess: 4, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-59: DF Exception: Sub: R1002P, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-59: DF Exception: Sub: R1006P, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-59: DF Exception: Sub: R1006P, Sess: 1, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-59: DF Exception: Sub: R1010J, Sess: 1, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-30-00: DF Exception: Sub: R1018P, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-30-00: DF Exception: Sub: R1022J, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-30-00: DF Exception: Sub: R1027J, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-30-00: DF Exception: Sub: R1031M, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-30-00: DF Exception: Sub: R1034D, Sess: 1, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-30-00: DF Exception: Sub: R1042M, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-30-00: DF Exception: Sub: R1048E, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-30-00: DF Exception: Sub: R1049J, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-30-00: DF Exception: Sub: R1051J, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-30-00: DF Exception: Sub: R1051J, Sess: 1, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-30-00: DF Exception: Sub: R1051J, Sess: 2, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
